question,answer
"What is ChatGPT?","An AI chatbot developed by OpenAI."
"What is Groq?","A fast inference engine for running AI models."
"What is inference?","Using a trained model to make predictions."
"What is fine-tuning?","Training a model further on custom data."
"What is a learning rate?","A hyperparameter controlling weight updates."
"What is momentum?","An optimization technique to speed up training."
"What is dropout?","A method to prevent overfitting."
"What is batch size?","Number of samples processed at once during training."
"What is a confusion matrix?","A table showing model predictions vs actual."
"What is one-hot encoding?","Representing categories as binary vectors."
"What is normalization?","Scaling values to a common range."
"What is standardization?","Transforming data to mean 0 and std 1."
"What is a pipeline?","A structured workflow of processes."
"What is a notebook?","An interactive coding environment like Jupyter."
"What is PyTorch?","A deep learning framework by Meta."
"What is TensorFlow?","A deep learning framework by Google."
"What is Keras?","A high-level API for TensorFlow."
"What is NumPy?","A Python library for numerical computing."
"What is Pandas?","A library for data analysis."
"What is Matplotlib?","A library for plotting graphs."
"What is over-sampling?","Increasing samples of minority classes."
"What is under-sampling?","Reducing samples of majority classes."
"What is a confusion matrix?","A table comparing real and predicted labels."
"What is ensemble learning?","Combining multiple models to improve accuracy."
"What is transfer learning?","Using a pre-trained model for new tasks."
"What is zero-shot learning?","Model predicting without any example."
"What is few-shot learning?","Model predicting with few examples."
"What is a token?","Smallest unit of text for a model."
"What is AI ethics?","Principles to ensure responsible AI use."
"What is bias in AI?","Unfair outcomes caused by data imbalance."
"What is hallucination in AI?","When a model generates incorrect information."
"What is prompt engineering?","Writing better prompts to improve output."
"What is context length?","Maximum input text a model can understand."
"What is latency?","Time taken to produce output."
"What is scalability?","Ability to handle more users or data."
"What is accuracy score?","Total correct predictions / total predictions."
"What is model optimization?","Improving model performance."
"What is tokenizer?","A tool that splits text into tokens."
"What is embedding model?","A model that converts text to vectors."
"What is diffusion model?","A model that generates images."
"What is a vision model?","A model that understands images."
"What is AGI?","Artificial General Intelligence."
